antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"mineral water, whole wheat pasta",olive oil,0.009598720170643914,0.0658578856152513,0.0038661511798426876,0.4027777777777778,6.115862573099416,1.0,0.003233999764791615,1.5641449357139978,0.8445978249265459,0.05400372439478584,0.36067305710162856,0.23074111560953667
tomato sauce,"ground beef, spaghetti",0.014131449140114652,0.03919477403012932,0.0030662578322890282,0.2169811320754717,5.535970992170453,1.0,0.0025123788765239693,1.2270524572627266,0.8311079754240527,0.06100795755968169,0.1850389165669645,0.14760621229623927
fromage blanc,honey,0.013598186908412212,0.047460338621517134,0.003332888948140248,0.2450980392156863,5.164270764485569,1.0,0.0026875143928283235,1.2618057852026656,0.8174780375726449,0.057736720554272515,0.20748500939914105,0.15766137915840495
"spaghetti, tomato sauce",ground beef,0.006265831222503666,0.09825356619117451,0.0030662578322890282,0.4893617021276596,4.980599901844742,1.0,0.0024506175695260366,1.7659200995422832,0.8042603329405864,0.030223390275952697,0.4337229638763416,0.26028465024971853
light cream,chicken,0.01559792027729636,0.05999200106652446,0.004532728969470737,0.29059829059829057,4.84395061728395,1.0,0.00359697851955961,1.3250715165688751,0.8061309030654514,0.06378986866791744,0.2453237523440331,0.18307692307692305
pasta,escalope,0.01573123583522197,0.0793227569657379,0.005865884548726837,0.3728813559322034,4.700811850163794,1.0,0.004618039551798818,1.4681069551086883,0.7998534717348208,0.06576980568011959,0.31885071689074107,0.2234154678820681
"french fries, herb & pepper",ground beef,0.006932409012131715,0.09825356619117451,0.003199573390214638,0.46153846153846156,4.697421981004071,1.0,0.00251843948247686,1.6746719485021044,0.7926119837114602,0.03137254901960784,0.4028681253696038,0.2470514560066799
"cereals, spaghetti",ground beef,0.006665777896280496,0.09825356619117451,0.0030662578322890282,0.45999999999999996,4.681763907734057,1.0,0.0024113213825411647,1.6699008033496767,0.7916824704008216,0.03010471204188482,0.40116203429923114,0.24560379918588873
"french fries, ground beef",herb & pepper,0.01386481802426343,0.04946007199040128,0.003199573390214638,0.23076923076923078,4.665768194070081,1.0,0.0025138184926007555,1.2357019064124786,0.7967193907439952,0.05321507760532151,0.19074333800841514,0.14772962886170435
pasta,shrimp,0.01573123583522197,0.07145713904812692,0.005065991201173177,0.3220338983050847,4.506672147735896,1.0,0.003941882094696843,1.369600719904013,0.7905429970700827,0.06168831168831169,0.26986019686811774,0.1964647103465722
"chocolate, herb & pepper",ground beef,0.009065457938941474,0.09825356619117451,0.003999466737768298,0.4411764705882354,4.4901827759597746,1.0,0.0031087531661112035,1.6136515131315827,0.7844028880218845,0.03870967741935484,0.38028750826173174,0.24094101684092908
"cake, frozen vegetables",tomatoes,0.010265297960271964,0.06839088121583789,0.0030662578322890282,0.2987012987012987,4.367560314928736,1.0,0.0023642050588428853,1.3284055953033422,0.7790362631184408,0.040564373897707236,0.24721786513429328,0.1717678033467507
"milk, tomatoes",soup,0.013998133582189041,0.05052659645380616,0.0030662578322890282,0.21904761904761905,4.335293378565146,1.0,0.0023589797856752906,1.2157891142969555,0.7802572483363511,0.049891540130151846,0.17748893435498322,0.13986681743937682
"eggs, ground beef",herb & pepper,0.019997333688841486,0.04946007199040128,0.0041327822956939075,0.2066666666666667,4.178454627133872,1.0,0.0031437127318277307,1.198159573121343,0.7761989810471255,0.06326530612244897,0.16538662926601216,0.14511230907457323
"milk, olive oil",soup,0.017064391414478068,0.05052659645380616,0.0035995200639914677,0.2109375,4.174781497361478,1.0,0.00273731444526234,1.2032930262763644,0.7736686910700202,0.05625,0.16894723216793037,0.14108880277044855
whole wheat pasta,olive oil,0.029462738301559793,0.0658578856152513,0.007998933475536596,0.2714932126696833,4.122410097642296,1.0,0.0060585798265603875,1.2822696104287545,0.7804166666666666,0.09160305343511452,0.22013280836810253,0.19647535127411292
"herb & pepper, spaghetti",ground beef,0.01626449806692441,0.09825356619117451,0.006399146780429276,0.3934426229508197,4.004359721511667,1.0,0.004801101843044489,1.486663039522658,0.7626767402990469,0.059186189889025895,0.3273526189760643,0.2292857619503081
"herb & pepper, milk",ground beef,0.009198773496867084,0.09825356619117451,0.0035995200639914677,0.3913043478260869,3.9825968969382335,1.0,0.002695707763339416,1.4814405698287847,0.7558605429972491,0.03465982028241335,0.3249813591134651,0.21396967730517372
"herb & pepper, mineral water",ground beef,0.017064391414478068,0.09825356619117451,0.006665777896280496,0.39062500000000006,3.975682666214383,1.0,0.004989140584925966,1.4797890195837136,0.7614648040146481,0.06134969325153374,0.32422799009461867,0.22923380257801904
"cereals, ground beef",spaghetti,0.004532728969470737,0.17411011865084655,0.0030662578322890282,0.6764705882352942,3.8853031258445188,1.0,0.0022770638536023487,2.552750542351929,0.7460012460623846,0.017463933181473046,0.6082656791530172,0.3470408071344924
"chicken, olive oil",milk,0.007199040127982935,0.12958272230369283,0.0035995200639914677,0.5,3.858539094650206,1.0,0.0026666488462339134,1.7408345553926143,0.7462065261178997,0.027027027027027025,0.42556287333435444,0.2638888888888889
"frozen vegetables, soup",milk,0.007998933475536596,0.12958272230369283,0.003999466737768298,0.5,3.858539094650206,1.0,0.0029629431624821267,1.7408345553926143,0.7468082247009811,0.029940119760479045,0.42556287333435444,0.2654320987654321
tomato sauce,ground beef,0.014131449140114652,0.09825356619117451,0.005332622317024397,0.3773584905660377,3.840659481324083,1.0,0.003944157043558926,1.4482594239959923,0.7502298850574712,0.04981320049813201,0.30951597246242596,0.21581628734543407
